Region,餐廳名稱,Tag,Google評分,點解推介呢間餐廳,訂座,排隊,外賣
Central,一樂燒鵝,Cantonese/Roast Meat,4.2,米芝蓮名店、皮脆肉嫩嘅燒鵝、係中環必試嘅經典儀式感,X,X,X
Central,大班樓,Fine Dining Cantonese,4.6,粵菜天花板、佢哋嘅雞油花雕蒸大花蟹、食完真係會想跳舞呀,X,X,X
Central,九記牛腩,Noodles,4,雖然要排隊、但嗰碗清湯牛腩真係好濃郁、暖胃又暖心,X,X,X
Central,VEA,French-Chinese Fusion,4.7,法式中菜超驚喜、每一道菜都好似藝術品、最啱影相打卡,X,X,X
Central,陸羽茶室,Dim Sum/Nostalgic,4.1,懷舊味道十足、喺度飲茶好似穿越返去舊香港咁、好有Feel,,X,X
Central,勝香園,Dai Pai Dong/Cha Chaan Teng,4.1,大排檔風味、番茄通粉酸酸甜甜、最適合行完街嚟開胃,,X,X
Central,Zuma,Japanese,4.4,高級日式料理、個 Brunch 超豐富、仲可以睇住中環靚景飲返杯,X,,
Central,蛇王芬,Cantonese/Tonic,4.2,老字號蛇羹、秋冬天食返碗、個人即刻暖晒、補身首選,,,
Central,Motorino,Western/Pizza,4.3,拿坡里薄餅專家、餅底好煙韌、係我同閨蜜聚會嘅私藏名單,,,
Central,泰昌餅家,Bakery,4,蛋撻皮鬆脆、蛋漿滑溜、買個熱辣辣嘅邊行邊食最爽,,,
Tsim Sha Tsui,嘉麟樓,Dim Sum/Fine Dining Cantonese,4.5,半島酒店經典、喺度食點心真係覺得自己變咗公主呀,,,
Tsim Sha Tsui,泰館,Thai,4.3,泰式創意菜、環境好Chill、適合收工後過嚟飲杯嘢、食串燒,,,
Tsim Sha Tsui,胡同,Sichuan,4.4,景觀超靚嘅川菜、望住維港食辣嘢、視覺同味覺雙重享受,,,
Tsim Sha Tsui,丼丼屋,Japanese,4.1,日式丼飯性價比高、三牛丼肉質豐富、大口大口食超滿足,,,
